第一金人壽保險 第一金融控股
元通科技 南紡建設
智翔科技 研華投資
光騰光電 台全電機
星際城媒體科技 易旅網路科技
鵬寶科技 仁寶電腦工業
鵬寶科技 華正創業投資
鵬寶科技 程智科技
鵬寶科技 連鋐科技
鵬寶科技 誠杏
鵬寶科技 迅杰科技
鈺邦科技 創新工業技術移轉
鈺邦科技 華誠創業投資
鈺邦科技 中盈投資開發
統蓮企業 南聯國際貿易
全方位國際投資 華順投資
全方位國際投資 正峯投資
百佳圓建設 春雨工廠
華南商業銀行 中華建築經理
華南商業銀行 華銀保險代理人
華南商業銀行 富裕創業投資
華南商業銀行 台北外滙經紀
華南商業銀行 台灣金融資產服務
華南商業銀行 聯安服務
華南商業銀行 台灣金聯資產管理
華南商業銀行 華南金融控股
華南商業銀行 華南國際租賃
向陽優能開發 向陽優能電力
晶陽能源科技 崇智國際投資
國際電化商品 建弘國際投資
國際電化商品 台灣松下電器
國際電化商品 瑞智精密
國際電化商品 隆鈞投資
平律貿易 沛奇國際
遠東建築經理 遠鼎
遠東建築經理 遠揚營造工程
遠東建築經理 元太外匯經紀
英吉利國際諮詢顧問 耐斯馬哥波羅管理顧問
英吉利國際諮詢顧問 和園投資
英吉利國際諮詢顧問 耐斯企業
高品精密 恒耀工業
精成科技 晟成實業
精成科技 瀚宇博德
精成科技 台灣精星科技
精成科技 華成自動化設備
精成科技 華科采邑
理盛精密科技 台灣三菱商事
海光企業 台灣鋼聯
海光企業 玉展投資
海光企業 海明投資
海光企業 昭安投資
海光企業 億昌鋼鐵廠
秘密基地數位科技 亞橘投資
金冠晟 南聯國際貿易
康博有限公司 威力國際開發
康博有限公司 金協興營造有限公司
致達光電科技 致新科技
大小創意齋有限公司 大小媒體
大松投資 金居開發銅箔
大松投資 光寶科技
大富媒體科技 富天下媒體科技
大富媒體科技 台灣大哥大
大富媒體科技 富樹林媒體科技
大富媒體科技 台固媒體
大富媒體科技 富邦媒體科技
大富媒體科技 優視傳播
致和國際管理顧問 頤品
致和國際管理顧問 雲朗觀光
臺企保險代理人 臺灣中小企業銀行
大慶建設 凱撒大飯店
大慶建設 北濱育樂事業
大慶建設 基亞生物科技
台灣絲織開發 中國人造纖維
台灣絲織開發 和友紡織
台灣絲織開發 大宇紡織
台灣絲織開發 國紡企業
台灣絲織開發 春茂實業
台灣絲織開發 榮鑫實業
台灣絲織開發 台灣富綢纖維
心盛醫學影像 健興投資
心盛醫學影像 信文
心盛醫學影像 以利亞投資
亞帝歐光電 帝祥投資
亞帝歐光電 中瑞創業投資
匯欣汽車 匯豐汽車
緯恩投資 朝盈
三立電視 愛買客
三立電視 東立媒體
三立電視 怡佳娛樂經紀有限公司
三立電視 魚蹦興業
三立電視 易旅網路科技
三立電視 台灣優視媒體科技
三立電視 台灣電競
三立電視 名模製作
三立電視 新絲路模特兒經紀
三立電視 聯鑫行銷
三立電視 伊林模特兒經紀
三立電視 好看娛樂製作
博城實業 家城
恆義不動產顧問 信義房屋仲介
倍捷科技 中華電信
中國鑄管廠 台文針織
中國鑄管廠 台元紡織
中國鑄管廠 裕隆汽車製造
寶裕投資 日新開發投資
寶裕投資 富裕開發投資
相凝資產管理 璞石建設
全聯有線電視 凱擘
蘭博灣發展 展誠開發
蘭博灣發展 展悅建設
義大華都企業 燁興企業
台灣富驛酒店 金門渡假村
城巿發展育樂 主題國際設計顧問
城巿發展育樂 台灣紙業
大統益 泰華油脂工業
大統益 統一企業
大統益 大成長城企業
大統益 光大穀物
大統益 美食家食材通路
東泰榮 東元電機
鑫晶鑽科技 元奇投資有限公司
鑫晶鑽科技 寬永寶嘉投資有限公司
鑫晶鑽科技 九福國際
宏威投資 中強電子
順盈投資有限公司 旺宏電子
大眾聯合投資 聯眾投資
大眾聯合投資 台灣開得投資
昌宏投資 友尚綠能
昌宏投資 駿躍投資
瑞海投資 亞元科技
瑞海投資 研揚科技
群益保險代理人 群益金鼎證券
正融實業 台名保險經紀人
永陞投資 大永興業
新極現廣告 台灣電通
新極現廣告 貝立德
進安國際 佳美投資
進安國際 漢諾威國際育樂
進安國際 吉星創業投資
典華婚訂花園 協健投資
典華婚訂花園 合心投資
瑞陞國際科技 嘉德開發
丹棠天津 江陵創新育成
丹棠天津 丹棠開發
丹棠天津 旭海投資
揚信科技 寶鑫國際投資
揚信科技 鴻揚創業投資
揚信科技 鴻棋國際投資
精英電腦 展英電腦
精英電腦 寶成工業
精英電腦 大同
精英電腦 志達康資訊
新光證券投資信託 新光金融控股
探微科技 華新麗華
遠百亞太開發 太平洋流通投資
遠百亞太開發 遠鼎
遠百亞太開發 亞洲水泥
遠百亞太開發 百揚投資
資耕開發 泰誠資訊
資耕開發 和裕投資
資耕開發 大全彩藝工業
資耕開發 聖高實業
資耕開發 純青實業
鑫富科投資有限公司 輔祥實業
科美洲 科風
科美洲 崇太能源
優惠 優鑫室內裝修
浤光投資有限公司 浤力聯合
民間全民電視 浩祥貿易
民間全民電視 蕙園投資
民間全民電視 台灣優視媒體科技
民間全民電視 金元實業
民間全民電視 鳳凰藝能
民間全民電視 台員多媒體
民間全民電視 民視文化事業
民間全民電視 民間投資
力太電子 力宇創業投資
力太電子 力信投資
美麗新娛樂 威視
美麗新娛樂 美麗新興業
創樂遊戲 億銆投資
創樂遊戲 樂宙
忠信遊樂 南宮建設開發
忠信遊樂 陽明山娛樂事業有限公司
中凌科技 士林電機廠
立和國際物流 和裕投資
立和國際物流 立興投資
佳尼特 牧德科技
佳尼特 十全媒體娛樂行銷
宏普人力資源 立陽投資
宏普人力資源 忠釋實業
睿強實業 增你強
伊凡投資 聯強國際
中央日報社 裕台開發實業
定吉實業 信東生技
銀星國際投資 正道工業
晶國 村園和業
偉碩投資 達韋投資
偉碩投資 偉綜投資
偉碩投資 關中
偉碩投資 高輝投資
統仁藥品 泰伯投資
統仁藥品 統仁投資
統仁藥品 統一企業
中和建設 中和紡織
光泉食品 統一企業
金青科技 長兆投資
聯華聯合液化石油氣 嘉氣實業
聯華聯合液化石油氣 聯華氣體工業
聯華聯合液化石油氣 順興液化石油氣
聯華聯合液化石油氣 聯成化學科技
聯華聯合液化石油氣 聯億液化石油氣
聯華聯合液化石油氣 聯建液化石油氣
聯華聯合液化石油氣 聯華實業
順理生技國際 班友投資
精元投資 群光電子
資通國際開發 越冠國際開發
資通國際開發 寶通國際投資
欣鼎泰投資 新燕實業
世正開發 新光合成纖維
世正開發 世誠營造
世正開發 富邦金控創業投資
世正開發 東元電機
世正開發 榮民工程
世正開發 世和數位科技
世正開發 捷正公寓大廈管理維護
世正開發 世華開發
世正開發 台新創業投資
崇智國際投資 安永生物科技
崇智國際投資 嘉益能源
崇智國際投資 康寶生醫
崇智國際投資 群越材料
崇智國際投資 新越能源
崇智國際投資 彩妍國際
崇智國際投資 亞泰半導體設備
崇智國際投資 崇越科技
崇智國際投資 冠越科技工程
崇智國際投資 晶晨能源科技
喧嘩 嘉禧投資
喧嘩 大亞創業投資
生源創業投資 兆豐國際商業銀行
生源創業投資 果和投資
